"","Num. of hosts sampled","Amalaraeus penicilliger","Amphipsylla kuznetzovi","Amphipsylla sibirica","Corrodopsylla birulai","Ctenophthalmus assimilis","Ctenophthalmus breviatus","Frontopsylla elata","Hystrichopsylla talpae","Megabothris rectangulatus","Megabothris turbidus","Megabothris walkeri","Neopsylla pleskei","Oropsylla ilovaiskii","Palaeopsylla soricis","Peromyscopsylla bidentata","Peromyscopsylla silvatica","Rhadinopsylla integella"
"Apodemus agrarius",50,0,0,0,0,7,0,0,2,0,3,2,0,0,0,0,0,0
"Apodemus uralensis",76,4,0,3,3,62,0,6,0,3,0,2,23,0,0,0,0,0
"Clethrionomys glareolus",14,3,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0
"Clethrionomys rutilus",258,555,0,0,70,473,0,57,49,0,25,49,51,0,103,33,8,0
"Micromys minutus",28,2,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0
"Microtus agrestis",24,14,0,0,0,64,0,9,0,0,0,47,10,0,4,0,0,0
"Microtus arvalis",90,61,4,0,15,279,0,0,4,0,27,42,19,0,23,4,0,0
"Microtus gregalis",43,34,17,0,0,95,8,0,6,0,6,8,8,0,6,8,0,0
"Microtus oeconomus",38,36,0,3,8,105,0,3,19,0,0,72,6,0,14,0,0,0
"Neomys fodiens",24,0,0,0,372,269,0,0,80,0,0,6,0,0,80,0,0,0
"Sicista betulina",44,0,0,0,0,6,0,2,0,0,5,2,0,0,0,2,0,0
"Sorex araneus",204,29,0,0,475,283,0,19,18,0,9,48,9,0,485,9,0,9
"Sorex caecutiens",91,10,0,0,45,20,0,2,0,0,0,0,0,0,36,0,0,0
"Sorex minutus",34,3,0,0,26,26,0,3,0,0,0,6,0,0,149,0,0,0
"Sorex tundrensis",17,2,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0
"Spermophilus major",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
