"","Num. of hosts sampled","Amalaraeus penicilliger","Amphipsylla anceps","Amphipsylla asiatica","Amphipsylla dumalis","Amphipsylla primaris","Amphipsylla rossica","Amphipsylla schelkovnikovi","Amphipsylla sibirica","Callopsylla caspia","Citellophilus lebedewi","Citellophilus trispinus","Ctenophthalmus assimilis","Ctenophthalmus golovi","Frontopsylla ambigua","Frontopsylla elata","Frontopsylla macrophthalma","Frontopsylla ornata","Frontopsylla protera","Mesopsylla hebes","Neopsylla mana","Neopsylla meridiana","Neopsylla pleskei","Neopsylla setosa","Neopsylla teratura","Nosopsyllus aralis","Nosopsyllus fidus","Oropsylla ilovaiskii","Oropsylla silantiewi","Pectinoctenus nemorosa","Peromyscopsylla bidentata","Rhadinopsylla angusta","Rhadinopsylla bivirgis","Rhadinopsylla cedestis","Rhadinopsylla li"
"Allactaga elater",111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,78,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"Allactaga major",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,30,0,0,0,0,0,0,4,0,0
"Alticola argentatus",14,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0
"Apodemus agrarius",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0
"Apodemus uralensis",189,0,0,0,0,0,40,0,0,7,0,0,0,10,3,3,0,2,0,0,2,0,0,0,2,0,4,0,0,129,0,0,0,0,2
"Clethrionomys centralis",7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Cricetulus migratorius",336,0,17,0,2,0,0,193,0,21,0,0,0,0,0,4,0,0,0,2,0,9,22,0,198,4,8,0,0,0,0,0,120,0,0
"Ellobius talpinus",3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Marmota baibacina",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
"Marmota caudata",218,0,0,0,0,3,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,516
"Meriones tamariscinus",285,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,10,0,0,0,0,7,709,7,7,0,0,0,0,4,0,0
"Microtus gregalis",222,8,2,24,0,0,0,0,0,64,0,0,21,0,0,200,0,0,0,0,0,2,0,0,5,0,0,0,0,3,0,39,0,0,0
"Microtus kirgisorum",40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Microtus socialis",2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0
"Spermophilus fulvus",2675,0,0,0,0,0,0,0,0,0,0,1879,0,0,0,0,0,0,0,0,0,0,0,1367,0,18,13,1184,0,0,0,0,0,2,0
