"","Num. of hosts sampled","Amalaraeus arvicolae","Amalaraeus penicilliger","Amphipsylla rossica","Atyphloceras nuperus","Ceratophyllus sciurorum","Ctenophthalmus agyrtes","Ctenophthalmus assimilis","Ctenophthalmus bisoctodentatus","Ctenophthalmus obtusus","Ctenophthalmus solutus","Ctenophthalmus uncinatus","Doratopsylla dasycnema","Hystrichopsylla orientalis","Megabothris turbidus","Palaeopsylla kohauti","Palaeopsylla soricis","Peromyscopsylla bidentata","Peromyscopsylla silvatica","Rhadinopsylla integella","Rhadinopsylla isacantha","Rhadinopsylla pentacantha"
"Apodemus agrarius",2538,0,0,0,0,0,1065,324,0,0,8,2,0,63,398,0,24,9,0,2,0,0
"Apodemus flavicollis",3598,0,0,0,0,13,2266,305,0,0,127,17,0,48,703,0,12,5,0,14,0,3
"Apodemus sylvaticus",82,0,0,0,0,0,41,6,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"Apodemus uralensis",893,0,0,0,0,0,261,119,0,0,0,0,0,2,82,0,0,0,0,0,0,0
"Arvicola terrestris",6,0,0,0,0,0,45,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Clethrionomys glareolus",1711,0,592,4,27,3,1368,150,0,0,0,0,0,0,574,0,0,153,15,69,7,27
"Crocidura leucodon",13,0,0,0,0,0,5,3,3,5,13,61,0,7,0,0,0,0,0,0,0,0
"Micromys minutus",16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Microtus arvalis",656,0,19,2,0,0,188,621,0,0,0,0,0,4,142,0,3,17,0,0,0,0
"Microtus subterraneus",91,13,18,0,0,0,132,48,0,0,0,0,0,0,26,0,65,4,0,0,0,6
"Muscardinus avellanarius",11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myoxus glis",4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys anomalus",18,0,0,0,0,0,0,2,0,0,0,0,12,0,4,0,0,0,0,0,0,0
"Neomys fodiens",43,0,0,0,0,0,9,4,0,0,0,0,75,0,4,2,15,0,0,0,0,0
"Sorex alpinus",7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Sorex araneus",262,0,0,0,0,0,43,17,4,0,0,0,77,0,4,2,170,0,0,0,0,0
"Talpa europaea",5,0,0,0,0,0,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
